No.,保険会社,保険商品,保険料,保険期間---払込期間,特　徴,付加済
1,FWD富士生命保険株式会社,FWD収入保障〔非喫煙者優良体/最低支払保証期間2年〕,"2,117円","65歳
65歳","遺族年金：月額10万円
高度障害年金：月額10万円
最低支払保証期間：2年",
2,FWD富士生命保険株式会社,FWD収入保障〔非喫煙者優良体/最低支払保証期間2年〕　3大疾病保険料払込免除特約Ⅱ付加,"2,232円","65歳
65歳","遺族年金：月額10万円
高度障害年金：月額10万円
最低支払保証期間：2年",P免
3,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・非喫煙者健康体),"2,495円","65歳
65歳払","年金月額：10万円
年金支払保証期間：2年
※非喫煙者健康体保険料率",
4,Ｔ＆Ｄフィナンシャル生命,家計にやさしい収入保障 非喫煙者健康体保険料率,"2,510円","65歳満了
65歳満了","遺族年金（高度障害年金）：月額10万円
確定保証期間：2年",
5,メディケア生命保険（住友生命グループ）,メディフィット収入保障　非喫煙者優良体料率　年金支払保証期間2年,"2,527円","65歳満了
65歳満了","収入保障年金：月額10万円
高度障害年金：月額10万円
年金支払保証期間：2年
＊非喫煙者優良体料率",
6,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年・非喫煙者健康体）,"2,590円","65歳
65歳","遺族年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",
7,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・非喫煙者健康体) 特定疾病保険料払込免除特約(2018)Ⅰ型,"2,598円","65歳
65歳払","年金月額：10万円
年金支払保証期間：2年
※特定疾病保険料払込免除特約(2018)Ⅰ型付加
※非喫煙者健康体保険料率",P免
8,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・非喫煙者健康体) 特定疾病保険料払込免除特約(2018)Ⅱ型,"2,627円","65歳
65歳払","年金月額：10万円
年金支払保証期間：2年
※特定疾病保険料払込免除特約(2018)Ⅱ型付加
※非喫煙者健康体保険料率",P免
9,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(SD非喫煙者優良体),"2,650円","65歳満了
65歳満了","※SD非喫煙者優良体保険料率
収入保障年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",
10,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・非喫煙者健康体) 特定疾病保険料払込免除特約(2018)Ⅲ型,"2,664円","65歳
65歳払","年金月額：10万円
年金支払保証期間：2年
※特定疾病保険料払込免除特約(2018)Ⅲ型付加
※非喫煙者健康体保険料率",P免
